category,date,downloads
with_mirrors,2020-06-18,189
with_mirrors,2020-06-19,149
with_mirrors,2020-06-20,39
with_mirrors,2020-06-21,10
with_mirrors,2020-06-22,23
with_mirrors,2020-06-23,14
with_mirrors,2020-06-24,14
with_mirrors,2020-06-25,11
with_mirrors,2020-06-26,17
with_mirrors,2020-06-27,12
with_mirrors,2020-06-28,2
with_mirrors,2020-06-29,9
with_mirrors,2020-06-30,24
with_mirrors,2020-07-01,4
with_mirrors,2020-07-02,135
with_mirrors,2020-07-03,143
with_mirrors,2020-07-04,43
with_mirrors,2020-07-05,28
with_mirrors,2020-07-06,14
with_mirrors,2020-07-07,15
with_mirrors,2020-07-08,13
with_mirrors,2020-07-09,22
with_mirrors,2020-07-10,21
with_mirrors,2020-07-11,13
with_mirrors,2020-07-12,10
with_mirrors,2020-07-13,15
with_mirrors,2020-07-14,22
with_mirrors,2020-07-15,24
with_mirrors,2020-07-16,12
with_mirrors,2020-07-17,8
with_mirrors,2020-07-18,33
with_mirrors,2020-07-19,10
with_mirrors,2020-07-20,21
with_mirrors,2020-07-21,13
with_mirrors,2020-07-22,51
with_mirrors,2020-07-23,11
with_mirrors,2020-07-24,18
with_mirrors,2020-07-25,9
with_mirrors,2020-07-26,15
with_mirrors,2020-07-28,14
with_mirrors,2020-07-29,9
with_mirrors,2020-07-30,6
with_mirrors,2020-07-31,14
with_mirrors,2020-08-01,8
with_mirrors,2020-08-02,31
with_mirrors,2020-08-03,10
with_mirrors,2020-08-04,12
with_mirrors,2020-08-05,13
with_mirrors,2020-08-06,9
with_mirrors,2020-08-07,18
with_mirrors,2020-08-08,26
with_mirrors,2020-08-09,6
with_mirrors,2020-08-10,2
with_mirrors,2020-08-11,10
with_mirrors,2020-08-12,8
with_mirrors,2020-08-13,10
with_mirrors,2020-08-14,14
with_mirrors,2020-08-15,15
with_mirrors,2020-08-16,5
with_mirrors,2020-08-17,20
with_mirrors,2020-08-18,1
with_mirrors,2020-08-19,64
with_mirrors,2020-08-20,69
with_mirrors,2020-08-21,33
with_mirrors,2020-08-22,15
with_mirrors,2020-08-23,47
with_mirrors,2020-08-24,42
with_mirrors,2020-08-25,8
with_mirrors,2020-08-26,13
with_mirrors,2020-08-27,15
with_mirrors,2020-08-28,35
with_mirrors,2020-08-29,8
with_mirrors,2020-08-30,9
with_mirrors,2020-08-31,38
with_mirrors,2020-09-01,24
with_mirrors,2020-09-02,14
with_mirrors,2020-09-03,7
with_mirrors,2020-09-04,29
with_mirrors,2020-09-05,10
with_mirrors,2020-09-06,27
with_mirrors,2020-09-07,24
with_mirrors,2020-09-08,5
with_mirrors,2020-09-09,4
with_mirrors,2020-09-10,8
with_mirrors,2020-09-11,23
with_mirrors,2020-09-12,33
with_mirrors,2020-09-13,17
with_mirrors,2020-09-14,18
with_mirrors,2020-09-15,9
with_mirrors,2020-09-16,14
with_mirrors,2020-09-17,6
with_mirrors,2020-09-18,27
with_mirrors,2020-09-19,5
with_mirrors,2020-09-20,21
with_mirrors,2020-09-21,10
with_mirrors,2020-09-22,8
with_mirrors,2020-09-23,11
with_mirrors,2020-09-24,6
with_mirrors,2020-09-25,6
with_mirrors,2020-09-26,7
with_mirrors,2020-09-27,7
with_mirrors,2020-09-28,11
with_mirrors,2020-09-29,16
with_mirrors,2020-09-30,1
with_mirrors,2020-10-01,15
with_mirrors,2020-10-02,20
with_mirrors,2020-10-03,17
with_mirrors,2020-10-06,6
with_mirrors,2020-10-07,6
with_mirrors,2020-10-08,4
with_mirrors,2020-10-09,12
with_mirrors,2020-10-10,17
with_mirrors,2020-10-11,7
with_mirrors,2020-10-12,1
with_mirrors,2020-10-13,2
with_mirrors,2020-10-14,28
with_mirrors,2020-10-15,8
with_mirrors,2020-10-16,4
with_mirrors,2020-10-17,50
with_mirrors,2020-10-18,2
with_mirrors,2020-10-19,19
with_mirrors,2020-10-20,3
with_mirrors,2020-10-21,8
with_mirrors,2020-10-22,13
with_mirrors,2020-10-23,4
with_mirrors,2020-10-24,10
with_mirrors,2020-10-25,12
with_mirrors,2020-10-26,12
with_mirrors,2020-10-27,8
with_mirrors,2020-10-28,5
with_mirrors,2020-10-29,17
with_mirrors,2020-10-30,10
with_mirrors,2020-10-31,1
with_mirrors,2020-11-01,21
with_mirrors,2020-11-02,32
with_mirrors,2020-11-03,4
with_mirrors,2020-11-04,11
with_mirrors,2020-11-05,6
with_mirrors,2020-11-06,8
with_mirrors,2020-11-07,16
with_mirrors,2020-11-08,2
with_mirrors,2020-11-09,5
with_mirrors,2020-11-10,8
with_mirrors,2020-11-11,22
with_mirrors,2020-11-12,3
with_mirrors,2020-11-13,14
with_mirrors,2020-11-14,23
with_mirrors,2020-11-15,12
with_mirrors,2020-11-16,9
with_mirrors,2020-11-17,4
with_mirrors,2020-11-18,8
with_mirrors,2020-11-19,9
with_mirrors,2020-11-20,9
with_mirrors,2020-11-21,14
with_mirrors,2020-11-22,10
with_mirrors,2020-11-23,4
with_mirrors,2020-11-24,12
with_mirrors,2020-11-25,18
with_mirrors,2020-11-26,8
with_mirrors,2020-11-27,8
with_mirrors,2020-11-28,7
with_mirrors,2020-11-29,2
with_mirrors,2020-11-30,4
with_mirrors,2020-12-01,11
with_mirrors,2020-12-02,4
with_mirrors,2020-12-03,4
with_mirrors,2020-12-04,68
with_mirrors,2020-12-05,79
with_mirrors,2020-12-06,32
with_mirrors,2020-12-07,28
with_mirrors,2020-12-08,15
with_mirrors,2020-12-09,15
with_mirrors,2020-12-10,10
with_mirrors,2020-12-11,10
with_mirrors,2020-12-12,15
with_mirrors,2020-12-13,26
with_mirrors,2020-12-14,8
with_mirrors,2020-12-15,5
with_mirrors,2020-12-16,20
with_mirrors,2020-12-17,11
with_mirrors,2020-12-18,6
with_mirrors,2020-12-20,38
with_mirrors,2020-12-21,15
with_mirrors,2020-12-22,1
with_mirrors,2020-12-23,16
with_mirrors,2020-12-24,22
with_mirrors,2020-12-25,10
with_mirrors,2020-12-26,17
with_mirrors,2020-12-27,13
with_mirrors,2020-12-28,12
with_mirrors,2020-12-29,9
with_mirrors,2020-12-30,8
with_mirrors,2020-12-31,9
with_mirrors,2021-01-01,21
with_mirrors,2021-01-02,12
with_mirrors,2021-01-03,9
with_mirrors,2021-01-04,3
with_mirrors,2021-01-05,6
with_mirrors,2021-01-06,10
with_mirrors,2021-01-07,2
with_mirrors,2021-01-08,9
with_mirrors,2021-01-09,11
with_mirrors,2021-01-10,17
with_mirrors,2021-01-11,6
with_mirrors,2021-01-12,5
with_mirrors,2021-01-13,2
with_mirrors,2021-01-14,10
with_mirrors,2021-01-15,10
with_mirrors,2021-01-16,11
with_mirrors,2021-01-17,9
with_mirrors,2021-01-18,7
with_mirrors,2021-01-19,18
with_mirrors,2021-01-20,8
with_mirrors,2021-01-21,6
with_mirrors,2021-01-22,4
with_mirrors,2021-01-25,4
with_mirrors,2021-01-26,9
with_mirrors,2021-01-27,2
with_mirrors,2021-01-28,12
with_mirrors,2021-01-31,9
with_mirrors,2021-02-01,3
with_mirrors,2021-02-02,6
with_mirrors,2021-02-03,10
with_mirrors,2021-02-04,11
with_mirrors,2021-02-05,11
with_mirrors,2021-02-06,14
with_mirrors,2021-02-07,6
with_mirrors,2021-02-08,10
with_mirrors,2021-02-09,5
with_mirrors,2021-02-10,1
with_mirrors,2021-02-11,6
with_mirrors,2021-02-13,13
with_mirrors,2021-02-15,10
with_mirrors,2021-02-16,1
with_mirrors,2021-02-17,5
with_mirrors,2021-02-18,3
with_mirrors,2021-02-19,11
with_mirrors,2021-02-20,2
with_mirrors,2021-02-21,18
with_mirrors,2021-02-22,7
with_mirrors,2021-02-23,4
with_mirrors,2021-02-24,3
with_mirrors,2021-02-25,15
with_mirrors,2021-02-26,5
with_mirrors,2021-02-27,11
with_mirrors,2021-02-28,4
with_mirrors,2021-03-01,9
with_mirrors,2021-03-02,6
with_mirrors,2021-03-03,18
with_mirrors,2021-03-04,5
with_mirrors,2021-03-05,4
with_mirrors,2021-03-06,17
with_mirrors,2021-03-07,15
with_mirrors,2021-03-08,6
with_mirrors,2021-03-09,14
with_mirrors,2021-03-10,7
with_mirrors,2021-03-11,41
with_mirrors,2021-03-12,100
with_mirrors,2021-03-13,36
with_mirrors,2021-03-14,24
