category,date,downloads
null,2020-12-04,15
null,2020-10-17,9
null,2020-12-16,8
null,2021-03-11,8
null,2020-11-28,7
null,2020-12-11,7
null,2020-12-26,7
Linux,2020-12-04,6
Linux,2021-03-01,6
null,2020-12-01,6
null,2021-03-12,6
Linux,2020-10-09,5
Linux,2020-10-17,5
null,2020-10-02,5
null,2020-11-24,5
null,2020-12-05,5
null,2020-12-07,5
null,2020-12-09,5
null,2021-02-09,5
Linux,2020-10-21,4
Linux,2020-10-23,4
Linux,2020-11-19,4
Linux,2020-12-16,4
Linux,2021-02-03,4
Linux,2021-02-17,4
null,2020-12-12,4
null,2021-01-12,4
Linux,2020-09-17,3
Linux,2020-10-14,3
Linux,2020-10-24,3
Linux,2020-11-15,3
Linux,2020-11-23,3
Linux,2020-12-02,3
Linux,2021-01-05,3
Linux,2021-02-01,3
Linux,2021-02-25,3
null,2020-09-22,3
null,2020-09-29,3
null,2020-10-01,3
null,2020-10-15,3
null,2020-10-20,3
null,2020-10-24,3
null,2020-12-17,3
null,2021-01-21,3
Darwin,2020-11-22,2
Darwin,2020-12-04,2
Darwin,2021-01-04,2
Linux,2020-10-13,2
Linux,2020-11-18,2
Linux,2020-11-21,2
Linux,2020-11-30,2
Linux,2020-12-03,2
Linux,2020-12-07,2
Linux,2020-12-17,2
Linux,2020-12-30,2
Linux,2021-01-21,2
Linux,2021-02-02,2
Linux,2021-02-05,2
Linux,2021-02-18,2
Linux,2021-02-19,2
Linux,2021-02-20,2
Linux,2021-02-22,2
Linux,2021-02-27,2
Linux,2021-03-05,2
Linux,2021-03-10,2
Linux,2021-03-11,2
null,2020-09-17,2
null,2020-09-21,2
null,2020-09-28,2
null,2020-10-07,2
null,2020-11-20,2
null,2020-11-26,2
null,2020-11-29,2
null,2020-12-06,2
null,2020-12-21,2
null,2020-12-30,2
null,2021-01-22,2
null,2021-01-27,2
null,2021-01-28,2
null,2021-02-22,2
Windows,2020-09-24,2
Windows,2020-09-29,2
Windows,2020-10-27,2
Windows,2020-12-04,2
Windows,2021-02-24,2
Windows,2021-03-12,2
Darwin,2020-10-02,1
Darwin,2020-10-06,1
Darwin,2020-10-11,1
Darwin,2020-10-12,1
Darwin,2020-10-24,1
Darwin,2020-11-02,1
Darwin,2020-11-03,1
Darwin,2020-11-09,1
Darwin,2020-11-11,1
Darwin,2020-11-20,1
Darwin,2020-12-06,1
Darwin,2020-12-10,1
Darwin,2020-12-14,1
Darwin,2020-12-28,1
Darwin,2021-01-01,1
Darwin,2021-01-05,1
Darwin,2021-01-09,1
Darwin,2021-01-16,1
Darwin,2021-02-18,1
Darwin,2021-02-23,1
Darwin,2021-03-08,1
Linux,2020-09-16,1
Linux,2020-09-18,1
Linux,2020-09-21,1
Linux,2020-09-24,1
Linux,2020-09-28,1
Linux,2020-09-29,1
Linux,2020-10-07,1
Linux,2020-10-11,1
Linux,2020-10-19,1
Linux,2020-11-04,1
Linux,2020-11-11,1
Linux,2020-11-14,1
Linux,2020-11-16,1
Linux,2020-11-20,1
Linux,2020-11-22,1
Linux,2020-12-01,1
Linux,2020-12-08,1
Linux,2020-12-10,1
Linux,2020-12-12,1
Linux,2020-12-14,1
Linux,2020-12-26,1
Linux,2021-01-04,1
Linux,2021-01-07,1
Linux,2021-01-08,1
Linux,2021-01-12,1
Linux,2021-01-20,1
Linux,2021-01-22,1
Linux,2021-01-28,1
Linux,2021-02-07,1
Linux,2021-02-08,1
Linux,2021-02-11,1
Linux,2021-02-16,1
Linux,2021-02-23,1
Linux,2021-02-24,1
Linux,2021-02-26,1
Linux,2021-03-03,1
Linux,2021-03-04,1
Linux,2021-03-06,1
Linux,2021-03-09,1
null,2020-10-03,1
null,2020-10-06,1
null,2020-10-14,1
null,2020-10-16,1
null,2020-10-27,1
null,2020-10-31,1
null,2020-11-03,1
null,2020-11-14,1
null,2020-11-18,1
null,2020-11-23,1
null,2020-12-03,1
null,2020-12-08,1
null,2020-12-13,1
null,2020-12-23,1
null,2020-12-25,1
null,2021-01-02,1
null,2021-01-05,1
null,2021-01-08,1
null,2021-01-10,1
null,2021-01-15,1
null,2021-01-19,1
null,2021-02-10,1
null,2021-02-11,1
null,2021-02-17,1
null,2021-02-28,1
null,2021-03-01,1
null,2021-03-02,1
null,2021-03-03,1
Windows,2020-09-28,1
Windows,2020-10-22,1
Windows,2020-10-24,1
Windows,2020-11-16,1
Windows,2020-11-20,1
Windows,2020-11-21,1
Windows,2020-11-27,1
Windows,2020-12-01,1
