Created Date,Query,Total Results
2026-03-09 21:28:44,aat,0
2026-03-09 21:28:43,aatl1,0
2026-03-09 21:28:45,atk,0
2026-04-10 01:40:45,atl03 version,31
2026-03-09 21:28:46,atl15,2
2026-05-11 13:17:03,attenuation,1
2026-04-20 19:15:26,avail_granules,4
2026-04-03 06:30:21,bathymetry,2
2026-05-19 16:57:40,bckgrd,0
2026-05-19 16:57:38,bkg,0
2026-05-19 16:57:30,bkgrnd,0
2026-04-15 20:48:11,bounding box,13
2026-03-26 12:55:14,convert,4
2026-04-23 14:30:13,del,0
2026-04-23 14:30:12,delta_tim,0
2026-04-23 14:30:01,delta_time,5
2026-04-09 07:14:41,do w n lao,19
2026-04-02 09:50:38,do'w,0
2026-04-02 09:50:53,dow,0
2026-03-31 11:22:58,downlaod,0
2026-03-31 11:23:02,download,23
2026-04-03 07:30:44,download,23
2026-04-09 07:14:38,download,23
2026-04-16 14:37:24,download,23
2026-05-07 08:49:27,download,23
2026-04-02 09:50:51,download_gr,0
2026-04-02 09:50:50,download_gran,0
2026-04-02 09:50:46,download_granule,0
2026-04-02 09:50:39,download——,23
2026-03-12 10:12:24,earthaccess,9
2026-03-19 07:15:41,firewall,0
2026-03-15 19:26:13,full_sat_fract,0
2026-05-16 17:10:35,globu,0
2026-04-02 09:50:53,granules,18
2026-03-26 12:54:37,latitude,13
2026-05-19 15:17:06,mea,0
2026-05-19 15:17:02,measured,0
2026-04-23 15:36:14,merge,5
2026-03-26 12:55:10,met,0
2026-03-26 12:55:09,meters,0
2026-04-15 20:46:39,order.granules,0
2026-03-31 03:43:31,order_vars,4
2026-05-19 15:17:00,par,0
2026-05-19 15:16:59,paramete,0
2026-03-31 11:15:17,pause,3
2026-03-15 19:26:17,ph_,0
2026-03-26 12:54:49,polar stat,1
2026-03-26 12:54:50,polar stereograp,1
2026-05-19 15:16:24,product,40
2026-03-26 12:54:59,pyproj,0
2026-04-02 09:38:58,query.variables.append,0
2026-04-02 09:38:57,query.variables.append(var_list=target_variables),8
2026-04-02 11:16:32,re'a'd,0
2026-04-02 11:16:32,read,25
2026-03-11 13:37:18,resume,4
2026-03-03 13:20:10,shape,1
2026-03-31 07:55:54,spatial_extent,12
2026-03-26 12:54:56,stereograp,0
2026-04-20 19:17:37,temporal,19
2026-04-23 15:36:13,tim,0
2026-04-23 14:30:14,time,45
2026-04-23 15:36:13,timemerg,0
2026-04-23 15:36:11,timemerge,0
2026-05-09 08:57:02,token,2
2026-04-02 09:39:04,variables.append,2
2026-04-02 11:16:28,visual,1
2026-03-31 10:12:23,wanted,9
