_date,total_views,unique_views
2020-10-21,1,1
2020-10-22,75,9
2020-10-23,84,13
2020-10-24,27,9
2020-10-25,2,1
2020-10-26,47,7
2020-10-27,48,10
2020-10-28,62,10
2020-10-29,48,11
2020-10-30,45,9
2020-10-31,5,2
2020-11-01,13,4
2020-11-02,16,6
2020-11-03,45,8
2020-11-04,143,10
2020-11-05,92,11
2020-11-06,29,7
2020-11-07,17,4
2020-11-08,3,1
2020-11-09,48,11
2020-11-10,98,9
2020-11-11,22,5
2020-11-12,31,4
2020-11-13,54,5
2020-11-14,54,2
2020-11-15,8,3
2020-11-16,53,7
2020-11-17,66,3
2020-11-18,30,11
2020-11-19,30,8
2020-11-20,47,6
2020-11-21,18,3
2020-11-22,10,3
2020-11-23,91,16
2020-11-24,11,2
2020-11-25,14,2
2020-11-26,8,3
2020-11-27,15,2
2020-11-28,2,1
2020-11-29,2,2
2020-11-30,85,9
2020-12-01,130,18
2020-12-02,29,12
2020-12-03,24,7
2020-12-04,90,7
2020-12-06,4,2
2020-12-07,25,6
2020-12-08,37,7
2020-12-09,21,4
2020-12-10,56,15
2020-12-11,18,9
2020-12-12,4,2
2020-12-13,1,1
2020-12-14,29,10
2020-12-15,35,10
2020-12-16,34,10
2020-12-17,39,7
2020-12-18,11,6
2020-12-19,4,3
2020-12-20,5,2
2020-12-21,17,4
2020-12-22,15,5
2020-12-23,33,3
2020-12-24,7,3
2020-12-26,3,3
2020-12-27,2,2
2020-12-28,13,4
2020-12-29,9,4
2020-12-30,6,4
2020-12-31,1,1
2021-01-01,17,3
2021-01-02,16,3
2021-01-03,4,4
2021-01-04,20,8
2021-01-05,33,14
2021-01-06,42,7
2021-01-07,15,3
2021-01-08,11,4
2021-01-09,69,4
2021-01-10,6,3
2021-01-11,63,9
2021-01-12,57,12
2021-01-13,42,8
2021-01-14,65,18
2021-01-15,18,8
2021-01-16,60,6
2021-01-17,3,3
2021-01-18,64,5
2021-01-19,59,5
2021-01-20,89,13
2021-01-21,68,9
2021-01-22,42,10
2021-01-23,32,10
2021-01-24,13,6
2021-01-25,81,21
2021-01-26,97,15
2021-01-27,55,10
2021-01-28,60,16
2021-01-29,69,20
2021-01-30,16,4
2021-01-31,12,5
2021-02-01,77,12
2021-02-02,18,7
2021-02-03,42,14
2021-02-04,66,9
2021-02-05,35,9
2021-02-06,4,4
2021-02-07,15,3
2021-02-08,58,11
2021-02-09,60,14
2021-02-10,94,13
2021-02-11,35,4
2021-02-12,6,2
2021-02-13,5,3
2021-02-14,10,4
2021-02-15,33,4
2021-02-16,32,9
2021-02-17,18,6
2021-02-18,74,11
2021-02-19,13,4
2021-02-20,35,6
2021-02-21,45,4
2021-02-22,39,10
2021-02-23,93,11
2021-02-24,57,11
2021-02-25,60,14
2021-02-26,42,6
2021-02-27,48,4
2021-02-28,44,4
2021-03-01,241,34
2021-03-02,22,11
2021-03-03,74,11
2021-03-04,61,16
2021-03-05,88,10
2021-03-06,36,5
2021-03-07,183,5
2021-03-08,189,20
2021-03-09,168,19
2021-03-10,80,13
2021-03-11,275,19
2021-03-12,100,16
2021-03-13,21,7
2021-03-14,24,4
2021-03-15,51,16
2021-03-16,73,21
2021-03-17,85,17
2021-03-18,61,16
2021-03-19,99,9
2021-03-20,29,3
2021-03-21,22,7
2021-03-22,164,15
2021-03-23,68,15
2021-03-24,62,12
2021-03-25,20,5
2021-03-26,12,4
2021-03-27,14,3
2021-03-28,67,7
2021-03-29,239,20
2021-03-30,78,17
2021-03-31,62,12
2021-04-01,133,18
2021-04-02,27,8
2021-04-03,13,3
2021-04-04,25,6
2021-04-05,106,9
2021-04-06,47,13
2021-04-07,101,12
2021-04-08,182,16
2021-04-09,64,10
2021-04-10,38,9
2021-04-11,21,4
2021-04-12,267,23
2021-04-13,86,14
2021-04-14,30,11
2021-04-15,59,10
2021-04-16,54,10
2021-04-17,11,4
2021-04-18,18,6
2021-04-19,227,22
2021-04-20,251,27
2021-04-21,189,18
2021-04-22,32,11
2021-04-23,10,6
2021-04-24,54,10
2021-04-25,16,6
2021-04-26,55,20
2021-04-27,97,19
2021-04-28,316,81
2021-04-29,105,14
2021-04-30,108,19
2021-05-01,91,5
2021-05-02,23,1
2021-05-03,20,8
2021-05-04,112,13
2021-05-05,56,13
2021-05-06,57,12
2021-05-07,90,15
2021-05-08,31,9
2021-05-09,10,3
2021-05-10,190,10
2021-05-11,52,13
2021-05-12,138,18
2021-05-13,160,17
2021-05-14,136,22
2021-05-15,8,5
2021-05-16,8,1
2021-05-17,104,22
2021-05-18,67,17
2021-05-19,69,9
2021-05-20,46,16
2021-05-21,33,13
2021-05-22,13,2
2021-05-23,21,6
2021-05-24,92,13
2021-05-25,28,9
2021-05-26,41,14
2021-05-27,70,20
2021-05-28,47,12
2021-05-29,8,4
2021-05-30,8,3
2021-05-31,32,10
2021-06-01,42,15
2021-06-02,20,7
2021-06-03,38,9
2021-06-04,30,9
2021-06-05,10,8
2021-06-06,16,7
2021-06-07,74,18
2021-06-08,55,11
2021-06-09,296,11
2021-06-10,135,7
2021-06-11,28,10
2021-06-12,35,3
2021-06-13,7,6
2021-06-14,70,13
2021-06-15,63,10
2021-06-16,36,11
2021-06-17,39,13
2021-06-18,58,10
2021-06-19,8,3
2021-06-20,6,4
2021-06-21,208,16
2021-06-22,45,5
2021-06-23,25,8
2021-06-24,17,10
2021-06-25,178,22
2021-06-26,17,3
2021-06-27,14,5
2021-06-28,25,8
2021-06-29,36,6
2021-06-30,35,11
2021-07-01,99,14
2021-07-02,27,10
2021-07-03,8,4
2021-07-04,30,4
2021-07-05,24,9
2021-07-06,254,17
2021-07-07,193,17
2021-07-08,41,6
2021-07-09,34,12
2021-07-10,26,5
2021-07-11,28,9
2021-07-12,72,15
2021-07-13,35,12
2021-07-14,31,12
2021-07-15,105,15
2021-07-16,45,14
2021-07-17,6,3
2021-07-18,1,1
2021-07-19,26,7
2021-07-20,24,7
2021-07-21,19,6
2021-07-22,30,6
2021-07-23,21,5
2021-07-24,9,3
2021-07-25,3,1
2021-07-26,30,6
2021-07-27,31,9
2021-07-28,75,8
2021-07-29,81,12
2021-07-30,5,3
2021-07-31,21,6
2021-08-01,1,1
2021-08-02,46,6
2021-08-03,42,6
2021-08-04,33,13
2021-08-05,43,15
2021-08-06,13,9
2021-08-07,23,5
2021-08-08,7,5
2021-08-09,54,12
2021-08-10,47,9
2021-08-11,29,8
2021-08-12,40,8
2021-08-13,73,11
2021-08-14,36,10
2021-08-15,13,5
2021-08-16,69,13
2021-08-17,6,2
2021-08-18,22,8
2021-08-19,28,8
2021-08-20,3,3
2021-08-21,4,4
2021-08-22,26,7
2021-08-23,24,7
2021-08-24,70,10
2021-08-25,76,9
2021-08-26,11,3
2021-08-27,8,4
2021-08-28,6,2
2021-08-29,35,6
2021-08-30,89,7
2021-08-31,58,12
2021-09-01,59,10
2021-09-02,25,6
2021-09-03,8,4
2021-09-04,23,6
2021-09-05,20,2
2021-09-06,8,4
2021-09-07,55,10
2021-09-08,16,7
2021-09-09,35,3
2021-09-10,97,13
2021-09-11,4,2
2021-09-12,14,3
2021-09-13,68,14
2021-09-14,131,12
2021-09-15,57,10
2021-09-16,14,6
2021-09-17,16,8
2021-09-18,6,3
2021-09-19,20,5
2021-09-20,74,15
2021-09-21,80,8
2021-09-22,114,10
2021-09-23,68,8
2021-09-24,13,8
2021-09-25,2,2
2021-09-27,13,2
2021-09-28,8,4
2021-09-29,45,13
2021-09-30,233,13
2021-10-01,84,13
2021-10-02,35,8
2021-10-03,41,8
2021-10-04,79,11
2021-10-05,79,12
2021-10-06,116,17
2021-10-07,200,9
2021-10-08,129,16
2021-10-09,21,7
2021-10-10,5,3
2021-10-11,102,6
2021-10-12,89,8
2021-10-13,147,14
2021-10-14,44,13
2021-10-15,59,10
2021-10-16,22,8
2021-10-17,14,7
2021-10-18,136,16
2021-10-19,50,13
2021-10-20,9,5
2021-10-21,106,9
2021-10-22,325,10
2021-10-23,43,11
2021-10-24,60,9
2021-10-25,90,16
2021-10-26,86,7
2021-10-27,34,6
2021-10-28,73,13
2021-10-29,49,11
2021-10-30,19,4
2021-10-31,23,6
2021-11-01,60,9
2021-11-02,11,4
2021-11-03,32,10
2021-11-04,84,12
2021-11-05,44,11
2021-11-06,4,3
2021-11-07,7,3
2021-11-08,26,10
2021-11-09,76,6
2021-11-10,42,15
2021-11-11,18,11
2021-11-12,15,7
2021-11-13,15,5
2021-11-14,12,7
2021-11-15,47,11
2021-11-16,61,17
2021-11-17,30,13
2021-11-18,42,15
2021-11-19,54,11
2021-11-20,7,5
2021-11-21,8,4
2021-11-22,65,10
2021-11-23,71,5
2021-11-24,24,8
2021-11-25,14,7
2021-11-26,4,2
2021-11-27,13,4
2021-11-28,16,4
2021-11-30,28,2
2021-12-01,87,9
2021-12-02,51,6
2021-12-03,49,11
2021-12-04,94,5
2021-12-05,8,3
2021-12-06,89,11
2021-12-07,55,9
2021-12-08,183,9
2021-12-09,45,19
