_date,total_clones,unique_clones
2020-11-09,6,4
2020-11-10,4,4
2020-11-12,4,3
2020-11-13,1,1
2020-11-14,3,3
2020-11-16,5,4
2020-11-17,2,2
2020-11-19,1,1
2020-11-20,2,2
2020-11-22,2,1
2020-11-23,3,3
2020-11-25,2,2
2020-11-27,2,1
2020-11-28,4,2
2020-11-29,2,1
2020-11-30,2,2
2020-12-01,14,9
2020-12-02,6,6
2020-12-03,2,2
2020-12-04,25,10
2020-12-06,1,1
2020-12-07,1,1
2020-12-08,1,1
2020-12-09,1,1
2020-12-10,1,1
2020-12-11,1,1
2020-12-14,1,1
2020-12-15,1,1
2020-12-16,1,1
2020-12-18,2,2
2020-12-20,1,1
2020-12-21,1,1
2020-12-22,1,1
2020-12-24,1,1
2020-12-28,1,1
2021-01-01,1,1
2021-01-04,1,1
2021-01-05,1,1
2021-01-07,4,3
2021-01-09,3,1
2021-01-11,1,1
2021-01-12,3,2
2021-01-14,6,3
2021-01-16,2,1
2021-01-18,2,1
2021-01-19,4,1
2021-01-20,17,11
2021-01-22,2,1
2021-01-25,1,1
2021-01-28,2,2
2021-02-01,7,4
2021-02-02,2,2
2021-02-03,3,3
2021-02-04,10,7
2021-02-08,4,3
2021-02-09,7,1
2021-02-10,2,2
2021-02-13,3,1
2021-02-14,2,2
2021-02-15,3,1
2021-02-16,3,3
2021-02-17,3,3
2021-02-18,5,3
2021-02-19,1,1
2021-02-20,1,1
2021-02-21,5,3
2021-02-22,5,5
2021-02-23,10,7
2021-02-24,3,3
2021-02-25,6,5
2021-02-26,1,1
2021-02-28,9,7
