_date,total_views,unique_views
2020-11-04,143,10
2020-11-05,92,11
2020-11-06,29,7
2020-11-07,17,4
2020-11-08,3,1
2020-11-09,48,11
2020-11-10,98,9
2020-11-11,22,5
2020-11-12,31,4
2020-11-13,54,5
2020-11-14,54,2
2020-11-15,8,3
2020-11-16,53,7
2020-11-17,66,3
2020-11-18,30,11
2020-11-19,30,8
2020-11-20,47,6
2020-11-21,18,3
2020-11-22,10,3
2020-11-23,91,16
2020-11-24,11,2
2020-11-25,14,2
2020-11-26,8,3
2020-11-27,15,2
2020-11-28,2,1
2020-11-29,2,2
2020-11-30,85,9
2020-12-01,130,18
2020-12-02,29,12
2020-12-03,24,7
2020-12-04,90,7
2020-12-06,4,2
2020-12-07,25,6
2020-12-08,37,7
2020-12-09,21,4
2020-12-10,56,15
2020-12-11,18,9
2020-12-12,4,2
2020-12-13,1,1
2020-12-14,29,10
2020-12-15,35,10
2020-12-16,34,10
2020-12-17,39,7
2020-12-18,11,6
2020-12-19,4,3
2020-12-20,5,2
